,FECHA,MUNICIPIO RESIDENCIA,CASOS
641,2020-04-23,La Magdalena Contreras,26
642,2020-04-23,Miguel Hidalgo,21
643,2020-04-23,Milpa Alta,17
644,2020-04-23,Tlalpan,33
645,2020-04-23,Tláhuac,22
646,2020-04-23,Venustiano Carranza,28
647,2020-04-23,Xochimilco,36
648,2020-04-23,Álvaro Obregón,32
649,2020-04-24,Azcapotzalco,61
650,2020-04-24,Benito Juárez,40
651,2020-04-24,Coyoacán,44
652,2020-04-24,Cuajimalpa de Morelos,89
653,2020-04-24,Cuauhtémoc,32
654,2020-04-24,Gustavo A. Madero,84
655,2020-04-24,Iztacalco,103
656,2020-04-24,Iztapalapa,113
657,2020-04-24,La Magdalena Contreras,53
658,2020-04-24,Miguel Hidalgo,28
659,2020-04-24,Milpa Alta,18
660,2020-04-24,Tlalpan,43
661,2020-04-24,Tláhuac,24
662,2020-04-24,Venustiano Carranza,37
663,2020-04-24,Xochimilco,54
664,2020-04-24,Álvaro Obregón,38
665,2020-04-25,Azcapotzalco,35
666,2020-04-25,Benito Juárez,20
667,2020-04-25,Coyoacán,34
668,2020-04-25,Cuajimalpa de Morelos,54
669,2020-04-25,Cuauhtémoc,21
670,2020-04-25,Gustavo A. Madero,62
671,2020-04-25,Iztacalco,37
672,2020-04-25,Iztapalapa,66
673,2020-04-25,La Magdalena Contreras,15
674,2020-04-25,Miguel Hidalgo,14
675,2020-04-25,Milpa Alta,19
676,2020-04-25,Tlalpan,33
677,2020-04-25,Tláhuac,11
678,2020-04-25,Venustiano Carranza,16
679,2020-04-25,Xochimilco,29
680,2020-04-25,Álvaro Obregón,15
681,2020-04-26,Azcapotzalco,33
682,2020-04-26,Benito Juárez,20
683,2020-04-26,Coyoacán,25
684,2020-04-26,Cuajimalpa de Morelos,64
